apurado,bolsonaro,lula
1.68,48.60,41.54
1.76,48.62,41.57
1.89,48.71,41.55
1.99,48.81,41.46
4.13,48.89,41.96
4.90,48.84,42.10
6.77,48.76,42.32
7.39,48.53,42.60
9.06,48.44,42.74
11,48.33,42.93
12.09,48.21,43.04
14.64,47.98,43.28
16.16,47.91,43.36
17.47,47.89,43.39
20.26,47.93,43.32
22.41,47.88,43.36
24.16,47.80,43.42
25.83,47.74,43.49
30.81,47.56,43.64
33.18,47.45,43.75
35.51,47.34,43.86
38.38,47.17,44.02
41.19,47.01,44.16
44.17,46.84,44.32
46.46,46.69,44.47
52.21,46.31,44.86
54.59,46.31,44.87
60.33,46.01,45.20
63.45,45.87,45.35
66.66,45.69,45.55
70,45.51,45.74
73.31,45.29,45.99
76.27,45.14,46.15
79.32,45.04,46.26
82.55,44.81,46.53
85.55,44.73,46.64
88.55,44.48,46.93
90.26,44.32,47.12
91.61,44.20,47.25
92.17,44.13,47.34
92.63,44.09,47.39
93.30,44.03,47.46
93.45,44.02,47.47
93.87,43.98,47.51
94.05,43.96,47.54
94.21,43.94,47.56
94.68,43.91,47.60
94.88,43.89,47.62
95.04,43.88,47.63
95.23,43.89,47.66
95.39,43.85,47.67
95.68,43.82,47.71
95.76,43.81,47.72
95.85,43.80,47.73
95.99,43.79,47.75
96.20,43.76,47.78
96.42,43.74,47.80
96.52,43.72,47.83
96.74,43.71,47.84
96.83,43.70,47.85
97.07,43.68,47.88
97.32,43.65,47.91
97.38,43.64,47.92
97.56,43.62,47.95
97.61,43.61,47.95
97.69,43.60,47.97
97.77,43.59,47.98
97.83,43.58,47.99
97.86,43.57,47.99
97.99,43.56,48.03
98.08,43.53,48.05
98.26,43.52,48.06
98.49,43.49,48.09
98.54,43.48,48.11
98.61,43.47,48.12
98.79,43.44,48.15
98.86,43.42,48.17
98.91,43.42,48.18
99.01,43.40,48.20
99.05,43.39,48.21
99.33,43.33,48.27
99.41,43.32,48.29
99.44,43.31,48.29
99.48,43.31,48.30
99.54,43.30,48.31
99.60,43.29,48.33
99.65,43.27,48.34
99.71,43.26,48.35
99.78,43.25,48.37
99.82,43.24,48.38
100,43.20,48.43